=== RANKED CORRECTED PLOTS (ALL) ===
Rank  | Plot   | Confidence | Align  | Edge   | Shape  | Ambig  | Neigh  | Explanation
------------------------------------------------------------------------------------------------------------------------
1     | 1699   | 0.8635     | 0.2362 | 0.9437 | 0.9725 | 1.0000 | 1.0000 | weak boundary alignment, strong imagery edge evidence, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
2     | 2083   | 0.8620     | 0.3014 | 0.7372 | 0.9829 | 1.0000 | 1.0000 | excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
3     | 1940/C | 0.8603     | 0.3119 | 0.5253 | 1.0000 | 1.0000 | 1.0000 | excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
4     | 374/C  | 0.8582     | 0.2354 | 0.5405 | 1.0000 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
5     | 1158/C | 0.8552     | 0.0000 | 0.6932 | 1.0000 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
6     | 1158/A | 0.8547     | 0.0543 | 0.6242 | 1.0000 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
7     | 354    | 0.8541     | 0.1136 | 0.6070 | 0.9936 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
8     | 572    | 0.8534     | 0.4002 | 0.5446 | 0.9667 | 1.0000 | 1.0000 | excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
9     | 1158/D | 0.8529     | 0.0018 | 0.6486 | 1.0000 | 0.9806 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
10    | 1941/C | 0.8524     | 0.1844 | 0.4319 | 1.0000 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
11    | 1940/B | 0.8515     | 0.1747 | 0.4171 | 1.0000 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
12    | 488    | 0.8487     | 0.4449 | 0.4469 | 0.9587 | 1.0000 | 1.0000 | excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
13    | 1730   | 0.8470     | 0.1325 | 0.5349 | 0.9787 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
14    | 356    | 0.8465     | 0.5621 | 0.5551 | 0.9272 | 1.0000 | 1.0000 | unambiguous alignment peak, consistent with neighbor shifts
15    | 1763   | 0.8445     | 0.0536 | 0.4600 | 0.9970 | 0.9246 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
16    | 206    | 0.8428     | 0.0980 | 0.6844 | 0.9540 | 1.0000 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
17    | 357    | 0.8424     | 0.3405 | 0.4664 | 0.9503 | 1.0000 | 1.0000 | excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
18    | 1940/A | 0.8395     | 0.0427 | 0.4239 | 1.0000 | 0.8226 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
19    | 1125   | 0.8390     | 0.0000 | 0.5255 | 0.9958 | 0.7882 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
20    | 1929/A | 0.8385     | 0.0001 | 0.5055 | 1.0000 | 0.7586 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
21    | 900    | 0.8361     | 0.0563 | 0.4229 | 0.9830 | 0.8806 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
22    | 419    | 0.8352     | 0.1547 | 0.6726 | 0.9286 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
23    | 1941/B | 0.8337     | 0.0081 | 0.4427 | 1.0000 | 0.6994 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
24    | 316    | 0.8334     | 0.3209 | 0.4644 | 0.9286 | 1.0000 | 1.0000 | unambiguous alignment peak, consistent with neighbor shifts
25    | 729    | 0.8334     | 0.0150 | 0.4368 | 0.9966 | 0.7208 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
26    | 1594/B | 0.8331     | 0.0003 | 0.4541 | 1.0000 | 0.6825 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
27    | 989/A  | 0.8328     | 0.0540 | 0.4046 | 1.0000 | 0.6871 | 0.9833 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
28    | 248    | 0.8318     | 0.0562 | 0.7052 | 0.9270 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
29    | 1157   | 0.8299     | 0.0000 | 0.6933 | 0.9297 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
30    | 894    | 0.8287     | 0.0996 | 0.5370 | 0.9332 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
31    | 1041   | 0.8273     | 0.1470 | 0.6234 | 0.9147 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
32    | 208    | 0.8273     | 0.0912 | 0.6368 | 0.9194 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
33    | 1159   | 0.8270     | 0.1331 | 0.4599 | 0.9335 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
34    | 1692   | 0.8262     | 0.2198 | 0.9237 | 0.8704 | 1.0000 | 1.0000 | weak boundary alignment, strong imagery edge evidence, unambiguous alignment peak, consistent with neighbor shifts
35    | 344    | 0.8213     | 0.0298 | 0.3287 | 0.9871 | 0.6233 | 1.0000 | weak boundary alignment, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
36    | 420    | 0.8197     | 0.3577 | 0.5665 | 0.8786 | 1.0000 | 1.0000 | unambiguous alignment peak, consistent with neighbor shifts
37    | 1042   | 0.8185     | 0.1153 | 0.6135 | 0.8972 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
38    | 725    | 0.8175     | 0.0457 | 0.2832 | 0.9808 | 0.6246 | 1.0000 | weak boundary alignment, weak imagery edge evidence, excellent shape/area preservation, unambiguous alignment peak, consistent with neighbor shifts
39    | 113    | 0.8174     | 0.1435 | 0.5178 | 0.9021 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
40    | 1081   | 0.8149     | 0.1454 | 0.4410 | 0.9917 | 0.2782 | 0.9333 | weak boundary alignment, excellent shape/area preservation
41    | 468    | 0.8146     | 0.0326 | 0.4626 | 0.9317 | 0.8367 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
42    | 1702/31 | 0.8146     | 0.1858 | 0.6377 | 0.9841 | 0.1034 | 0.9333 | weak boundary alignment, excellent shape/area preservation
43    | 1100   | 0.8131     | 0.0841 | 0.6359 | 0.8849 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
44    | 1834   | 0.8116     | 0.1114 | 0.4198 | 0.9289 | 0.7837 | 0.9778 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
45    | 1717   | 0.8116     | 0.1155 | 0.5332 | 0.8892 | 1.0000 | 1.0000 | weak boundary alignment, unambiguous alignment peak, consistent with neighbor shifts
