=== MALATAVADI REJECTED CORRECTIONS DETAIL ===
Plot       | Confidence | Ev Imp     | Shift (m)  | Safeguard                 | Detailed Reason
------------------------------------------------------------------------------------------------------------------------
1          | 0.2320     | 0.0187     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
10         | 0.4542     | 0.0859     | 10.20      | baseline                  | Baseline flagging (overlap violation)
100        | 0.5568     | 0.0085     | 9.22       | evidence_threshold        | Insufficient evidence improvement (0.0085 < 0.035)
1000       | 0.2447     | 0.0408     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1001       | 0.1897     | 0.1200     | 10.20      | baseline                  | Baseline flagging (area ratio)
1002       | 0.2039     | 0.0081     | 10.20      | baseline                  | Baseline flagging (area ratio)
1003       | 0.2416     | 0.0317     | 10.20      | baseline                  | Baseline flagging (area ratio)
1004       | 0.1958     | 0.0425     | 10.20      | baseline                  | Baseline flagging (area ratio)
1005       | 0.2106     | 0.0729     | 10.20      | baseline                  | Baseline flagging (area ratio)
1006/A     | 0.2034     | 0.1039     | 10.20      | baseline                  | Baseline flagging (area ratio)
1006/B     | 0.1939     | 0.1086     | 10.20      | baseline                  | Baseline flagging (area ratio)
1007       | 0.5982     | 0.0426     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1009       | 0.1780     | 0.0351     | 10.20      | baseline                  | Baseline flagging (area ratio)
101        | 0.4499     | 0.0271     | 9.22       | confidence_threshold      | Low confidence (0.4499 < 0.50)
1010       | 0.5826     | 0.0221     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1011       | 0.1931     | 0.0670     | 10.20      | baseline                  | Baseline flagging (area ratio)
1012       | 0.5997     | 0.0961     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1013       | 0.4373     | 0.1046     | 10.20      | confidence_threshold      | Low confidence (0.4373 < 0.50)
1014       | 0.6018     | 0.0111     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0111 < 0.035)
1016       | 0.6869     | 0.0085     | 10.05      | evidence_threshold        | Insufficient evidence improvement (0.0085 < 0.035)
102        | 0.6831     | 0.0222     | 9.22       | evidence_threshold        | Insufficient evidence improvement (0.0222 < 0.035)
1020       | 0.2559     | 0.0813     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1021       | 0.2031     | 0.0282     | 10.20      | baseline                  | Baseline flagging (area ratio)
1022       | 0.1995     | 0.0129     | 10.20      | baseline                  | Baseline flagging (area ratio)
1023       | 0.1930     | 0.0464     | 10.20      | baseline                  | Baseline flagging (area ratio)
1024       | 0.6484     | 0.0236     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0236 < 0.035)
1025       | 0.6032     | 0.0280     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1026       | 0.1987     | 0.0451     | 10.20      | baseline                  | Baseline flagging (area ratio)
1027       | 0.1449     | 0.0349     | 10.20      | baseline                  | Baseline flagging (area ratio)
1028       | 0.1825     | 0.0030     | 10.20      | baseline                  | Baseline flagging (area ratio)
1029       | 0.1517     | 0.0453     | 10.20      | baseline                  | Baseline flagging (area ratio)
103        | 0.4135     | 0.0224     | 9.22       | confidence_threshold      | Low confidence (0.4135 < 0.50)
1030       | 0.1431     | 0.0412     | 10.20      | baseline                  | Baseline flagging (area ratio)
1031       | 0.1183     | 0.1279     | 10.20      | baseline                  | Baseline flagging (area ratio)
1032       | 0.1893     | 0.1252     | 10.20      | baseline                  | Baseline flagging (area ratio)
1034       | 0.5588     | 0.0622     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1035       | 0.1266     | 0.0398     | 10.20      | baseline                  | Baseline flagging (area ratio)
1036       | 0.4095     | 0.0298     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1037       | 0.1546     | 0.0894     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1038       | 0.1492     | 0.0224     | 10.20      | baseline                  | Baseline flagging (area ratio)
104        | 0.7207     | 0.0384     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1040       | 0.5794     | 0.0636     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1042       | 0.7646     | 0.0091     | 11.18      | baseline                  | Baseline flagging (overlap violation)
1043       | 0.6587     | 0.0094     | 11.18      | baseline                  | Baseline flagging (overlap violation)
1044       | 0.4467     | 0.0008     | 12.17      | baseline                  | Baseline flagging (alignment ambiguous)
1045       | 0.1551     | 0.1102     | 12.17      | baseline                  | Baseline flagging (area ratio)
1046       | 0.1230     | 0.0542     | 12.17      | baseline                  | Baseline flagging (area ratio)
1047       | 0.3572     | 0.1331     | 12.17      | baseline                  | Baseline flagging (alignment ambiguous)
1048       | 0.0876     | 0.1356     | 11.18      | baseline                  | Baseline flagging (area ratio)
1049       | 0.1730     | 0.0251     | 11.18      | baseline                  | Baseline flagging (area ratio)
105        | 0.7305     | 0.0368     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1051       | 0.6646     | 0.0325     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0325 < 0.035)
1052       | 0.4948     | 0.0041     | 10.20      | confidence_threshold      | Low confidence (0.4948 < 0.50)
1053       | 0.7718     | 0.0365     | 10.20      | baseline                  | Baseline flagging (overlap violation)
